id_baris,aksara,transliterasi,terjemahan,teks_pegon
1,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris001.png,Tan kocapa,Tiada diceritakan lagi,تان كوچاڤا
2,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris002.png,wong wadon iku dening wang,tentang wanita itu,ووڠ وادون ايكو دۤنيڠ واڠ
3,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris003.png,ana kocapa malih,ada kisah lagi,ان كوچاڤا مله
4,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris004.png,putêri nateng Temas,Putri dari Temas,ڤوتêري نتيڠ تۤمس
5,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris005.png,namanira Jaleka,yang bernama Zulaikha,نمنيرا جالييكا
6,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris006.png,wayah sangang taun malih,saat berusia sembilan tahun,واياه ساڠاڠ تاون مله
7,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris007.png,kusumaningrat,sang putri bunganya jagat,كوسومنيڠرات
8,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris008.png,ayu kasubeng bumi,cantik di seluruh dunia,ايو كاسوبيڠ بومي
9,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris009.png,Sugih êmas,Berlimpah emas,سوڮيه êمس
10,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris010.png,ratna widuri murwendah,intan berlian yang indah,راتن ويدوري موروينداه
11,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris011.png,yaya ibu nira sih,dikasihi ayah bundanya,يايا ايبو نيرا سيه
12,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris012.png,winoring sakarsa,dipenuhi segala kehendaknya,وينوريڠ ساكارسا
13,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris013.png,tan wani-wani malanga,tiada berani menentangnya,تان واني-واني ملڠا
14,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris014.png,yèn ana yunireng putêri,jika sang putri memiliki kehendak,يèن أن يونيريڠ ڤوتêري
15,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris015.png,tinurut sira,semua dituruti,تينوروت سيرا
16,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris016.png,dening kang yaya bibi,oleh ayah bundanya,دينيڠ كاڠ يايا بيبي
17,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris017.png,Risampune,Usai,ريسامڤوني
18,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris018.png,mêngkana putri soleha,demikianlah sang putri Zulaikha,مêڠكان ڤوتري سولييها
19,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris019.png,dalu sira angipi,malamnya ia bermimpi,دالو سيرا أڠيڤي
20,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris020.png,tumoning Bagendha,bersua dengan Baginda,تومونيڠ باڮيندها
21,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris021.png,Yusup pêkik kaliwat,Yusuf yang tampan rupawan,يوسوڤ ڤêكيك كالوات
22,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris022.png,dènira kasmaran bêrangti,ia pun dilanda asmara,دèنيرا كاسمران بêراڠتي
23,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris023.png,ing jêro sêwapna,dalam impiannya itu,يڠ جêرو سêواڤن
24,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris024.png,katon tung-tung ing ngaksi,terlihat jelas di pelupuk matanya,كاتون توڠ-توڠ ايڠ ڠاكسي
25,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris025.png,Sapanglilire,Setelah terjaga,ساڤاڠللري
26,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris026.png,aguling sang lêwir kusuma,dari mimpinya sang putri,اڮولڠ ساڠ لêوير كوسوم
27,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris027.png,awênês asmu bêrangti,berbinar-binar dilanda rindu,اوêنêس أسمو بêراڠتي
28,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris028.png,ya ta injang-injang,maka pagi-pagi sekali,يا تا اينجاڠ-ينجاڠ
29,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris029.png,sira prapteng bu nira,ia menghadap ibundanya,سيرا ڤراڤتيڠ بو نيرا
30,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris030.png,kalih anapa ing siwi,ada apakah gerangan anakku,كاله أنڤا ايڠ سيوي
31,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris031.png,kolèhe sira,apa sebabnya kau,كولèهي سيرا
32,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris032.png,nini asmu bêrangti,putriku dilanda rindu,نيني أسمو بêراڠتي
33,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris033.png,aturira,berkatalah,أتوريرا
34,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris034.png,sang putêri pukulun rama,sang putri ayahandanya itu,ساڠ ڤوتêري ڤوكولون رام
35,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris035.png,ibu manireng uni,ibundaku diriku semalam,يبو منيريڠ اوني
36,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris036.png,angipi tumingal,bermimpi melihat,اڠيڤي توميڠال
37,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris037.png,wong apêkik kaliwat,seorang lelaki tampan rupawan,ووڠ أڤêكيك كالوات
38,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris038.png,warnane datan patandhing,tiada tanding kerupawanan wajahnya,وارنني داتان ڤاتاندهيڠ
39,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris039.png,dèrèng wong mulat,tiada pernah diriku melihat,دèرèڠ ووڠ مولت
40,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris040.png,rupa kang kepi uni,wajah seperti dalam mimpiku semalam,روڤا كاڠ كۤڤي اوني
41,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris041.png,Mêyang kadi,Seolah ia,مêياڠ كادي
42,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris042.png,luhunging rupa kaliwat,berwajah teramat luhur,لوهوڠيڠ روڤا كالوات
43,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris043.png,pamulune akuning,kulitnya kuning,ڤامولوني أكونيڠ
44,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris044.png,sarira gumawang,semarak berkilauan,ساريرا ڮومواڠ
45,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris045.png,yaya mas sinêpuhan,layaknya sepuhan emas,يايا مس سينêڤوهان
46,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris046.png,sutêya yaya kêras neng rawit,matanya tajam namun lembut,سوتêيا يايا كêراس نۤڠ راويت
47,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris047.png,lêwir tumêrètèsa,seperti tetesan air,لêوير تومêرèتèسا
48,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris048.png,pawakannya rinukmi,berperawakan kencana,ڤاواكانۑا رينوكمي
49,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris049.png,Wajanira,Giginya,واجانيرا
50,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris050.png,lêwir muntêyara sinundukan,seperti rangkaian mutiara,لêوير مونتêيارا سينوندوكان
51,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris051.png,èsêm ira lêwir gêndhis,senyumnya manis bagaikan gula,èسêم ايرا لêوير ڮêندهيس
52,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris052.png,awêtu kang cahya,berbinar cahaya,اوêتو كاڠ چاهيا
53,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris053.png,saking kênyaring waja,memancar dari giginya,ساكيڠ كêۑاريڠ واجا
54,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris054.png,nyumunuh ing wêdana sêri,memancar dari mulutnya yang indah,ۑومونوه ايڠ وêدان سêري
55,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris055.png,lêwir pendah surya,tak ubahnya seperti mentari,لêوير ڤۤنداه سوريا
56,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris056.png,rema andêrawila sêr,rambutnya berjuntai indah,ريم أندêراويل سêر
57,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris057.png,Tan kuwasa,Tiada mampu,تان كوواسا
58,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris058.png,Ibu kawula murjita,"aku mengatakannya, Ibunda",يبو كاوول مورجيتا
59,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris059.png,ing warnane sang kepi,akan sosok impianku itu,يڠ وارنني ساڠ كۤڤي
60,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris060.png,nadêyan satungkêb rat,seandainya ke penjuru dunia,ندêيان ساتوڠكêب رات
61,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris061.png,ibu angulatana,ibunda mencarinya,يبو أڠولتان
62,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris062.png,mangsa manggiya kêkalih,apakah mungkin bisa menjumpainya,مڠسا مڠّييا كêكاله
63,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris063.png,satangi nira,seusai aku terjaga,ساتاڠي نيرا
64,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris064.png,tansah sumêlang ngaksi,selalu dilanda rasa was-was,تانساه سومêلڠ ڠاكسي
65,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris065.png,Mula ningsun ,Itulah sebabnya diriku,مول نيڠسون
66,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris066.png,"sak agêng bêrangta gung remang ","dilanda kasmaran teramat sangat ",ساك أڮêڠ بêراڠتا ڮوڠ رۤمڠ
67,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris067.png,"kangên sang kepi nguni  ","merindukan sosok dalam impian ",كاڠêن ساڠ كۤڤي ڠوني
68,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris068.png,yayebu ngartika  ,ayah bundanya pun berkata,ياييبو ڠارتيكا
69,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris069.png,anak ingsun pangeran,anakku sang dewi ,انك ايڠسون ڤاڠيران
70,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris070.png,sampun sira bunêk ati ,usah kau resah hati ,سامڤون سيرا بونêك أتي
71,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris071.png,yèn sih anaha,semoga jika memang benar-benar ada,يèن سيه أنها
72,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris072.png,mêne sang kepi uni,sosok dalam mimpimu itu,مêني ساڠ كۤڤي اوني
73,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris073.png,Sun timbali,Akan kupanggil ia,سون تيمبال
74,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris074.png,dadi kêrama nira nyawa,kunikahkan jadi belahan jiwamu,دادي كêرام نيرا ۑاوا
75,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris075.png,ibu tan wêrin gon gusti,ibu tiada tahu dimana ia berada,يبو تان وêرين ڮون ڮوستي
76,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris076.png,mênawa anak ing wang,jika saja kau putriku,مêنوا أنك ايڠ واڠ
77,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris077.png,wêruh parnahe pangeran,tahu dimana ia berada,وêروه ڤارنهي ڤاڠيران
78,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris078.png,enage sun atêr nini,segera akan kuantar kau anakku,ينڮي سون أتêر نيني
79,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris079.png,kang tan sêweng nala,kepada ia yang telah menambat hati,كاڠ تان سêويڠ نل
80,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris080.png,nira nimas dèwi,putriku sang dewi,نيرا نيمس دèوي
81,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris081.png,Selamine ,Seusai lamanya,سيلميني
82,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris082.png,angipi sok agêng bêrangta,"bermimpi, demikian besar rasa rindunya",اڠيڤي سوك أڮêڠ بêراڠتا
83,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris083.png,tan kêna buktiya goling,makan tiada lagi berselera,تان كêن بوكتييا ڮولڠ
84,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris084.png,gumêrit ing tingal,terbayang-bayang di mata,ڮومêريت ايڠ تيڠال
85,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris085.png,sumêlèng ing wardaya,tertancap di dalam hati,سومêلèڠ ايڠ واردايا
86,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris086.png,tansah kangêning sang kepi,diliputi rindu pada sosok dalam impian,تانساه كاڠêنيڠ ساڠ كۤڤي
87,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris087.png,risampunira,usai kemudian,ريسامڤونيرا
88,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris088.png,gênêp satahun malih,setelah genap setahun,ڮêنêڤ ساتاهون مله
89,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris089.png,Asêwapna,Ia bermimpi (kembali),اسêواڤن
90,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris090.png,panganggih sang kepi kuna,bersua lagi dengan sosok dalam impian,ڤاڠاڠّيه ساڠ كۤڤي كون
91,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris091.png,lingira sang suh dèwi,berkatalah sang dewi,لڠيرا ساڠ سوه دèوي
92,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris092.png,punapa pangeran,siapakah kau ini,ڤونڤا ڤاڠيران
93,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris093.png,manusa reka iya,manusiakah atau bukan,منوسا رۤكا اييا
94,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris094.png,enage sun ulati,yang selalu kucari-cari,ينڮي سون اولتي
95,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris095.png,kahanan tuwan,ingin tahu keberadaanmu,كاهانن تووان
96,https://raw.githubusercontent.com/S4njuuu3291/Proyek-Akhir-Semantik-Web/main/gambarAksaraPegonPerBaris/baris096.png,sumahur ing sang kepi,berkatalah sang sosok dalam mimpi,سومهور ايڠ ساڠ كۤڤي